instanceid,closed,opening,dayofweek,victim_gender,totalnumbervictims,totalsuspects
92A296AB-D1B7-40CE-BD96-209CFF141FDA,J--CLOSED,NA,SATURDAY,FEMALE,1,1
44ACB102-5B1D-40F8-9E2B-1F823A26705D,Z--EARLY CLOSED,NA,THURSDAY,FEMALE,1,NA
2CED4B80-3AB7-46DF-BBD9-3531A0C6727A,D--VICTIM REFUSED TO COOPERATE,NA,TUESDAY,FEMALE,1,1
EEB41765-CBC3-476C-BDBE-4273B4E0CC7E,J--CLOSED,NA,WEDNESDAY,FEMALE,1,NA
F4622DF5-8274-4290-AB0E-73CB9A720905,J--CLOSED,NA,TUESDAY,FEMALE,1,NA
EF456ED0-031E-4171-8C96-29CF91BC9A9B,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,2,NA
0859E5C0-4543-469D-910E-D14F603AB5BC,H--WARRANT ISSUED,NA,TUESDAY,MALE,1,1
9B091265-0352-4198-A19E-B960BDE15091,Z--EARLY CLOSED,NA,WEDNESDAY,NA,2,NA
D2DAF74C-1991-4E51-B81C-6BE79F7DA0F7,Z--EARLY CLOSED,NA,FRIDAY,NA,1,1
43EEB437-DF03-47D0-AB01-951B9EBBFA04,J--CLOSED,NA,WEDNESDAY,FEMALE,1,NA
70D1C032-B749-4E7E-B775-CECB9A2F6A98,Z--EARLY CLOSED,NA,SATURDAY,FEMALE,1,NA
E1E4C8B1-FE3A-4830-9366-AED62460A860,J--CLOSED,NA,THURSDAY,FEMALE,1,1
EF456ED0-031E-4171-8C96-29CF91BC9A9B,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,2,NA
9959B814-1E3A-4FE8-A78A-6BDC91DAFDD8,Z--EARLY CLOSED,NA,SATURDAY,NA,1,1
D66F6F64-8E65-4FBF-B602-0164FF722053,Z--EARLY CLOSED,NA,TUESDAY,NA,1,1
F8998972-6052-40E8-BFB4-2F578CB264B4,J--CLOSED,NA,WEDNESDAY,NA,1,2
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
4A0AF4B0-5816-47A4-A27D-D75761685E90,J--CLOSED,NA,SATURDAY,FEMALE,1,NA
DDBE2BE1-512B-4B7A-8A6D-60ADD903CDEA,J--CLOSED,NA,WEDNESDAY,FEMALE,1,NA
C82A41F6-4A3F-41C5-BD2E-56FAB75CD800,J--CLOSED,NA,THURSDAY,FEMALE,1,1
CAA633B1-2FAD-45E3-A073-CCB032694FC7,Z--EARLY CLOSED,NA,FRIDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
73FBDA17-0039-49FB-92B6-25B30B1CDFAD,J--CLOSED,NA,SUNDAY,FEMALE,1,NA
B2B397A4-B4BE-417A-A4E1-3C29BB49EDC5,Z--EARLY CLOSED,1 - DOOR,MONDAY,FEMALE,2,NA
7CE39649-1746-4BF9-AAD4-2BA4F56FD789,F--CLEARED BY ARREST - ADULT,NA,SUNDAY,FEMALE,1,NA
56EAAC1D-40E0-4964-85CD-5AB707F9348C,I--INVESTIGATION PENDING,NA,SUNDAY,FEMALE,1,4
0F6E865D-2026-4E9F-B393-CDE243803780,D--VICTIM REFUSED TO COOPERATE,NA,FRIDAY,MALE,1,1
37A5FA8B-38A5-4DDA-9C4D-D5302BC8CFC5,K--UNFOUNDED,NA,SUNDAY,FEMALE,1,1
2E620B7B-58E0-4030-8413-4AFB64B9FCC2,J--CLOSED,NA,SATURDAY,FEMALE,1,NA
DAB59652-6CCB-4BC6-8480-3DF39CBB0362,J--CLOSED,NA,WEDNESDAY,FEMALE,1,NA
13B2F1CE-5305-406F-9E3F-D6DED512A4B7,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,FEMALE,2,NA
86FFB8C9-C770-49BB-8D50-11A7A6E7196B,D--VICTIM REFUSED TO COOPERATE,NA,SUNDAY,FEMALE,1,1
5227DFEC-DCE6-4256-95EC-4BCF653C0832,G--CLEARED BY ARREST - JUVENILE,NA,WEDNESDAY,MALE,2,NA
5227DFEC-DCE6-4256-95EC-4BCF653C0832,G--CLEARED BY ARREST - JUVENILE,NA,WEDNESDAY,MALE,2,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
EEB41765-CBC3-476C-BDBE-4273B4E0CC7E,J--CLOSED,NA,WEDNESDAY,FEMALE,1,NA
04726138-4832-49AF-B2AD-6DC6674760C4,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
F6DE3B29-76F1-4DC9-8AC4-1285A9AEEC51,G--CLEARED BY ARREST - JUVENILE,NA,FRIDAY,FEMALE,1,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
EF456ED0-031E-4171-8C96-29CF91BC9A9B,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,2,NA
A56F9F7F-7BFF-40F8-B16F-C18C78A53A7D,D--VICTIM REFUSED TO COOPERATE,NA,TUESDAY,FEMALE,1,1
39751612-3FC5-4FCF-91AC-D69BC5F0EBB4,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
5BCC6BA2-9B7F-4663-A42E-8BC22FDBFA45,K--UNFOUNDED,NA,WEDNESDAY,FEMALE,1,5
C9E77804-0728-47BC-B226-A27D70B81B9D,F--CLEARED BY ARREST - ADULT,NA,WEDNESDAY,MALE,1,NA
E35682CE-ADEA-4BCD-8790-C61B698D24B4,Z--EARLY CLOSED,NA,WEDNESDAY,MALE,1,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
46734BEE-334B-4F34-9303-58130BAD635C,I--INVESTIGATION PENDING,NA,SUNDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
9B091265-0352-4198-A19E-B960BDE15091,Z--EARLY CLOSED,NA,WEDNESDAY,FEMALE,2,NA
D37422FC-ADA3-4CEC-A52E-310AF1C9CFDD,D--VICTIM REFUSED TO COOPERATE,NA,WEDNESDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
E1777BA7-4604-4C7E-A2F8-AA5F21FCF6ED,Z--EARLY CLOSED,NA,SUNDAY,NA,1,1
420B9DD9-FBB9-469D-BD20-12757D87B95A,Z--EARLY CLOSED,NA,WEDNESDAY,FEMALE,1,NA
634C533A-BE8B-40FB-AB7C-A2963FECE66E,J--CLOSED,NA,THURSDAY,FEMALE,1,1
EE8E21AB-D387-4B06-B917-6DDB42AC6C8D,Z--EARLY CLOSED,NA,WEDNESDAY,NA,1,NA
C4AF575E-E402-4079-B978-A98C80372EF5,Z--EARLY CLOSED,NA,THURSDAY,FEMALE,1,NA
2CC61969-B648-4C78-A7C1-141CAF4B61D0,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
EF456ED0-031E-4171-8C96-29CF91BC9A9B,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,2,NA
ACCCDA0F-B298-4FE8-979F-3D5596781A81,J--CLOSED,NA,SATURDAY,FEMALE,1,2
ACCCDA0F-B298-4FE8-979F-3D5596781A81,J--CLOSED,NA,SATURDAY,FEMALE,1,2
56EAAC1D-40E0-4964-85CD-5AB707F9348C,I--INVESTIGATION PENDING,NA,SUNDAY,FEMALE,1,4
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
5D083B87-857E-41BF-A467-3511F05CC0CD,F--CLEARED BY ARREST - ADULT,NA,MONDAY,FEMALE,1,NA
4F9617F0-C5DA-4DF3-B5E0-AF69CB3BD03D,F--CLEARED BY ARREST - ADULT,NA,MONDAY,MALE,1,NA
F4C0E8C4-11FA-4AB2-8378-25D216A20FAA,NA,NA,MONDAY,NA,1,NA
13B2F1CE-5305-406F-9E3F-D6DED512A4B7,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,MALE,2,NA
371A2A99-BE75-4A10-841F-4A9ACD5182D2,F--CLEARED BY ARREST - ADULT,NA,SUNDAY,FEMALE,1,NA
B3B068F1-7CED-4501-874B-3FF715C3993C,I--INVESTIGATION PENDING,NA,TUESDAY,MALE,2,1
F6072250-3E81-4B08-8586-1B65B64CF94C,Z--EARLY CLOSED,NA,SATURDAY,NA,1,1
FA2A2EAA-D726-4BE9-BD97-39D11B55D695,I--INVESTIGATION PENDING,NA,FRIDAY,NA,1,NA
580BF227-807D-42A5-B442-902FBE50D1C3,Z--EARLY CLOSED,NA,THURSDAY,FEMALE,1,NA
36411DE9-5669-4F6F-B49B-51E69C3DBB14,Z--EARLY CLOSED,NA,TUESDAY,MALE,1,NA
89070F5C-7E10-4B72-AC05-770609D6AF77,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,1,NA
1C1BBF47-C250-4244-A712-352653C6C193,F--CLEARED BY ARREST - ADULT,NA,SATURDAY,NA,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
00012F44-F700-43A2-B1FA-33EAC07810A6,Z--EARLY CLOSED,NA,THURSDAY,FEMALE,1,NA
3F4E4C50-0A6E-4A5A-A601-682293E0A99C,I--INVESTIGATION PENDING,NA,FRIDAY,FEMALE,1,1
A06C5490-C218-4CC7-B514-6803B97F3668,Z--EARLY CLOSED,NA,THURSDAY,MALE,1,NA
A6018820-2493-46F3-B104-C2BCC5CE6303,K--UNFOUNDED,NA,TUESDAY,FEMALE,2,2
A6018820-2493-46F3-B104-C2BCC5CE6303,K--UNFOUNDED,NA,TUESDAY,FEMALE,2,2
24DF697E-F56A-4583-8B66-0F0DAC4ED5AA,I--INVESTIGATION PENDING,NA,FRIDAY,FEMALE,1,1
A3F37E6A-63DD-4567-B7EA-D249EF100166,Z--EARLY CLOSED,NA,THURSDAY,NA,1,NA
E148F2B2-61BA-4423-959F-6B54D71887AD,D--VICTIM REFUSED TO COOPERATE,NA,SUNDAY,FEMALE,1,1
B3199E1D-EF89-4AE9-B36F-64E59A356ABF,I--INVESTIGATION PENDING,NA,FRIDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
CC0D72D5-086E-4D84-AFF5-4D6DC91C655D,Z--EARLY CLOSED,NA,WEDNESDAY,MALE,1,NA
0D119E9D-955C-4460-B7D0-D17C6FE8A5D8,I--INVESTIGATION PENDING,NA,FRIDAY,FEMALE,1,2
0D119E9D-955C-4460-B7D0-D17C6FE8A5D8,I--INVESTIGATION PENDING,NA,FRIDAY,FEMALE,1,2
729AF2EE-C6E8-4D58-AB57-05BF5D5A25B1,Z--EARLY CLOSED,NA,TUESDAY,MALE,1,NA
13B2F1CE-5305-406F-9E3F-D6DED512A4B7,F--CLEARED BY ARREST - ADULT,NA,THURSDAY,MALE,2,NA
076C833E-7D3C-4584-B518-BB4FA1A100D8,K--UNFOUNDED,NA,SATURDAY,FEMALE,1,NA
4B8AB503-3BE8-4812-8F83-1F42966F2E14,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
FFE09376-8A45-4194-A459-755C96CFA5FA,I--INVESTIGATION PENDING,NA,MONDAY,MALE,2,NA
FFE09376-8A45-4194-A459-755C96CFA5FA,I--INVESTIGATION PENDING,NA,MONDAY,MALE,2,NA
9B5401CA-1B29-41D1-825A-C5ACC83F0C07,F--CLEARED BY ARREST - ADULT,NA,WEDNESDAY,NA,1,NA
85120799-DD31-4A88-8D17-4D8A86209791,F--CLEARED BY ARREST - ADULT,NA,SUNDAY,FEMALE,1,NA
EE83140B-4125-40AD-8477-0808E5927FA9,Z--EARLY CLOSED,NA,THURSDAY,FEMALE,1,NA
6C8A8F94-090B-4519-AAA5-BA358E03CC37,Z--EARLY CLOSED,NA,THURSDAY,FEMALE,1,NA
56EAAC1D-40E0-4964-85CD-5AB707F9348C,I--INVESTIGATION PENDING,NA,SUNDAY,FEMALE,1,4
56EAAC1D-40E0-4964-85CD-5AB707F9348C,I--INVESTIGATION PENDING,NA,SUNDAY,FEMALE,1,4
B5AEE6C8-F423-4146-9451-63C0FDE8D6FB,I--INVESTIGATION PENDING,NA,SUNDAY,FEMALE,2,1
CFB33F0A-5E58-4DCE-A0FB-6710122A6ABC,Z--EARLY CLOSED,NA,NA,MALE,1,NA
7C495171-2D9C-43D3-BCD6-483ADE0B2412,F--CLEARED BY ARREST - ADULT,NA,FRIDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,MALE,18,NA
097D731B-F793-4C1D-BA25-CEE5C7645996,B--PROSECUTION DECLINED,NA,SATURDAY,FEMALE,1,1
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
79CB4FF9-7245-4887-8191-C63ADB02BEE9,Z--EARLY CLOSED,NA,SUNDAY,FEMALE,18,NA
5BCC6BA2-9B7F-4663-A42E-8BC22FDBFA45,K--UNFOUNDED,NA,WEDNESDAY,FEMALE,1,5
5BCC6BA2-9B7F-4663-A42E-8BC22FDBFA45,K--UNFOUNDED,NA,WEDNESDAY,FEMALE,1,5
3008F772-548F-45FA-AED8-3D7DDDCEAA8B,H--WARRANT ISSUED,NA,SATURDAY,FEMALE,1,1
BA9A2912-CF27-4B5C-B1C1-19CB5B375C2B,I--INVESTIGATION PENDING,NA,MONDAY,MALE,1,2
4B8AB503-3BE8-4812-8F83-1F42966F2E14,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
0BCB1DF3-82C2-45DC-8657-307FE769E08D,J--CLOSED,2 - WINDOW,TUESDAY,FEMALE,1,NA
B3B068F1-7CED-4501-874B-3FF715C3993C,I--INVESTIGATION PENDING,NA,TUESDAY,MALE,2,1
9BAE3A90-54B3-446B-AED4-B57446838C95,Z--EARLY CLOSED,NA,MONDAY,MALE,1,NA
D7534E13-AE07-4DCD-B841-3A7C19F792FB,D--VICTIM REFUSED TO COOPERATE,NA,TUESDAY,FEMALE,2,1
D7534E13-AE07-4DCD-B841-3A7C19F792FB,D--VICTIM REFUSED TO COOPERATE,NA,TUESDAY,FEMALE,2,1
746B6458-65AA-4863-801C-03865C6CF64F,D--VICTIM REFUSED TO COOPERATE,NA,FRIDAY,MALE,1,1
BA246034-7010-4054-9C51-1A5304BE8DC1,J--CLOSED,NA,MONDAY,FEMALE,1,1
